"","registration_area","registration_region","tot_number_new_cases","pop_number","prob","infections10","infections100","infections500","infections1000","join"
"135","Дніпропетровська","П'ятихатський район",75,43469,0.0017253675032782,0,0,1,2,"ДніпропетровськаП'ятихатський район"
"136","Дніпропетровська","Павлоград",258,104225,0.00247541376828976,0,0,1,2,"ДніпропетровськаПавлоград"
"137","Дніпропетровська","Павлоградський район",39,26723,0.00145941698162631,0,0,1,1,"ДніпропетровськаПавлоградський район"
"138","Дніпропетровська","Першотравенськ",0,27892,0,0,0,0,0,"ДніпропетровськаПершотравенськ"
"139","Дніпропетровська","Петриківський район",42,24479,0.00171575636259651,0,0,1,2,"ДніпропетровськаПетриківський район"
"140","Дніпропетровська","Петропавлівський район",9,25119,0.000358294518093873,0,0,0,0,"ДніпропетровськаПетропавлівський район"
"141","Дніпропетровська","Покров",3,38570,7.7780658542909e-05,0,0,0,0,"ДніпропетровськаПокров"
"142","Дніпропетровська","Покровський район",45,33134,0.00135812156697048,0,0,1,1,"ДніпропетровськаПокровський район"
"143","Дніпропетровська","Синельниківський район",9,36845,0.000244266521916135,0,0,0,0,"ДніпропетровськаСинельниківський район"
"144","Дніпропетровська","Синельникове",90,30321,0.00296823983377857,0,0,1,3,"ДніпропетровськаСинельникове"
"145","Дніпропетровська","Солонянський район",0,37429,0,0,0,0,0,"ДніпропетровськаСолонянський район"
"146","Дніпропетровська","Софіївський район",12,20562,0.000583600817041144,0,0,0,1,"ДніпропетровськаСофіївський район"
"147","Дніпропетровська","Тернівка",30,27635,0.00108557988058621,0,0,1,1,"ДніпропетровськаТернівка"
"148","Дніпропетровська","Томаківський район",36,23749,0.00151585329908628,0,0,1,2,"ДніпропетровськаТомаківський район"
"149","Дніпропетровська","Царичанський район",18,26079,0.000690210514206833,0,0,0,1,"ДніпропетровськаЦаричанський район"
"150","Дніпропетровська","Широківський район",9,25696,0.000350249066002491,0,0,0,0,"ДніпропетровськаШироківський район"
