registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Харківська,Ківшарівка,24,18496,0.00129757785467128,0,0,1,1
Харківська,Коломацький район,96,6677,0.0143777145424592,0,1,7,14
Харківська,Красноградський район,345,43034,0.00801691685643909,0,1,4,8
Харківська,Краснокутський район,297,26907,0.0110380198461367,0,1,6,11
Харківська,Куп'янськ,54,27584,0.001957656612529,0,0,1,2
Харківська,Куп'янський район,15,23180,0.000647109577221743,0,0,0,1
Харківська,Лозівський район,177,27331,0.00647616259924628,0,1,3,6
Харківська,Лозова,264,54618,0.00483357135010436,0,0,2,5
Харківська,Люботин,234,20646,0.011333914559721,0,1,6,11
Харківська,Нововодолазький район,186,31472,0.00591001525165226,0,1,3,6
Харківська,Панютине,33,7058,0.00467554548030604,0,0,2,5
Харківська,Первомайський,84,29357,0.00286132779234935,0,0,1,3
Харківська,Первомайський район,3,14747,0.000203431206347054,0,0,0,0
Харківська,Печенізький район,18,9617,0.00187168555682645,0,0,1,2
Харківська,Сахновщинський район,144,20181,0.00713542440909767,0,1,4,7
Харківська,Слобожанське,3,14017,0.000214025825782978,0,0,0,0
Харківська,Слобожанське,3,2679,0.00111982082866741,0,0,1,1
Харківська,Харків,20319,1443207,0.0140790614236211,0,1,7,14
Харківська,Харківський район,1695,176186,0.00962051468334601,0,1,5,10
Харківська,Чугуїв,693,31861,0.0217507297322746,0,2,11,22
Харківська,Чугуївський район,576,45362,0.0126978528283585,0,1,6,13
Харківська,Шевченківський район,297,19694,0.0150807352493145,0,2,8,15
Херсонська,Антонівка,84,12752,0.00658720200752823,0,1,3,7
Херсонська,Бериславський район,174,45931,0.0037882911323507,0,0,2,4
Херсонська,Білозерський район,441,64790,0.00680660595770952,0,1,3,7
Херсонська,Великолепетиський район,60,15961,0.0037591629597143,0,0,2,4
Херсонська,Великоолександрівський район,390,24494,0.0159222666775537,0,2,8,16
Херсонська,Верхньорогачицький район,33,11217,0.00294196309173576,0,0,1,3
Херсонська,Високопільський район,129,14119,0.00913662440682768,0,1,5,9
Херсонська,Генічеський район,144,58331,0.00246867017537844,0,0,1,2
Херсонська,Голопристанський район,225,44639,0.00504043549362665,0,1,3,5
Херсонська,Горностаївський район,36,18993,0.00189543516032222,0,0,1,2
Херсонська,Дніпряни,15,4089,0.00366837857666911,0,0,2,4
Херсонська,Зеленівка,39,5757,0.00677436164669099,0,1,3,7
Херсонська,Іванівський район,30,13172,0.00227755845733374,0,0,1,2
Херсонська,Каланчацький район,78,21032,0.00370863446177254,0,0,2,4
Херсонська,Каховка,288,35795,0.00804581645481212,0,1,4,8
Херсонська,Каховський район,72,34521,0.00208568697314678,0,0,1,2
Херсонська,Комишани,63,6828,0.00922671353251318,0,1,5,9
Херсонська,Наддніпрянське,3,1070,0.00280373831775701,0,0,1,3
Херсонська,Нижньосірогозький район,156,15033,0.0103771702255039,0,1,5,10
Херсонська,Нова Каховка,225,45422,0.00495354673946546,0,0,2,5
Херсонська,Нововоронцовський район,138,20251,0.00681447829736803,0,1,3,7
Херсонська,Новотроїцький район,72,34747,0.0020721213342159,0,0,1,2
Херсонська,Олешківський район,723,70128,0.0103097193702943,0,1,5,10
Херсонська,Скадовський район,132,46043,0.00286688530286906,0,0,1,3
Херсонська,Таврійськ,24,10360,0.00231660231660232,0,0,1,2
Херсонська,Херсон,3054,286958,0.0106426724468389,0,1,5,11
Херсонська,Чаплинський район,102,34149,0.00298691030484055,0,0,1,3
Хмельницька,Білогірський район,420,25403,0.0165334802976026,0,2,8,17
Хмельницька,Віньковецький район,378,22740,0.016622691292876,0,2,8,17
Хмельницька,Волочиський район,1185,48875,0.0242455242966752,0,2,12,24
Хмельницька,Городоцький район,774,45429,0.0170375751172159,0,2,9,17
