registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Луганська,Новоайдарський район,72,39700,0.00181360201511335,0,0,1,2
Луганська,Новодружеськ,12,6926,0.00173260179035518,0,0,1,2
Луганська,Новопсковський район,165,33173,0.00497392457721641,0,0,2,5
Луганська,Попаснянський район,117,74028,0.00158048306046361,0,0,1,2
Луганська,Привілля,0,6826,0,0,0,0,0
Луганська,Рубіжне,330,56785,0.00581139385401074,0,1,3,6
Луганська,Сватівський район,183,33302,0.0054951654555282,0,1,3,5
Луганська,Сєвєродонецьк,912,102396,0.00890659791398101,0,1,4,9
Луганська,Сиротине,3,1568,0.00191326530612245,0,0,1,2
Луганська,Слов'яносербський район,3,48102,6.23674691281028e-05,0,0,0,0
Луганська,Станично-Луганський район,108,46672,0.00231402125471375,0,0,1,2
Луганська,Старобільський район,276,42693,0.00646476003091842,0,1,3,6
Луганська,Тошківка,6,3952,0.00151821862348178,0,0,1,2
Луганська,Троїцький район,345,18932,0.0182231143038242,0,2,9,18
Луганська,Щастя,69,11743,0.00587584092650941,0,1,3,6
Львівська,Борислав,114,33186,0.00343518351111915,0,0,2,3
Львівська,Бродівський район,279,57457,0.00485580521085333,0,0,2,5
Львівська,Брюховичі,12,6303,0.00190385530699667,0,0,1,2
Львівська,Буський район,129,45934,0.00280837723690512,0,0,1,3
Львівська,Винники,207,18099,0.0114370959721532,0,1,6,11
Львівська,Гірник,27,2820,0.00957446808510638,0,1,5,10
Львівська,Городоцький район,417,68428,0.00609399660957503,0,1,3,6
Львівська,Дрогобицький район,225,73993,0.00304082818645007,0,0,2,3
Львівська,Дрогобич,510,75396,0.00676428457743116,0,1,3,7
Львівська,Жидачівський район,204,65186,0.00312950633571626,0,0,2,3
Львівська,Жовківський район,963,110223,0.00873683351024741,0,1,4,9
Львівська,Золочівський район,249,68394,0.00364067023423107,0,0,2,4
Львівська,Кам'янка-Бузький район,354,57389,0.00616842948997195,0,1,3,6
Львівська,Львів,3927,724314,0.00542168175680713,0,1,3,5
Львівська,Миколаївський район,813,62537,0.0130003038201385,0,1,7,13
Львівська,Моршин,30,5754,0.00521376433785193,0,1,3,5
Львівська,Мостиський район,300,56206,0.00533750845105505,0,1,3,5
Львівська,Новий Розділ,201,28304,0.00710146975692482,0,1,4,7
Львівська,Перемишлянський район,258,37740,0.0068362480127186,0,1,3,7
Львівська,Пустомитівський район,1716,120872,0.0141968363227216,0,1,7,14
Львівська,Радехівський район,177,46634,0.003795514002659,0,0,2,4
Львівська,Рудне,12,7316,0.00164024056861673,0,0,1,2
Львівська,Самбір,141,34695,0.00406398616515348,0,0,2,4
Львівська,Самбірський район,189,67063,0.00281824553032223,0,0,1,3
Львівська,Сколівський район,99,46996,0.00210656226061793,0,0,1,2
Львівська,Сокальський район,1353,101748,0.013297558674372,0,1,7,13
Львівська,Старосамбірський район,48,76099,0.000630757302986899,0,0,0,1
Львівська,Стебник,57,20511,0.00277899663595144,0,0,1,3
Львівська,Стрий,237,59730,0.00396785534907082,0,0,2,4
